colDane,sede,tipo
"111001107115","SEDE UNO","tarde"
"111001047457","SEDE UNO","unica"
"111001092410","SEDE UNO","manana"
"111001092410","SEDE UNO","tarde"
"111001027251","SEDE UNO","unica"
"111001075329","SEDE UNO","manana"
"111001075329","SEDE UNO","tarde"
"111001034240","SEDE UNO","manana"
"111001034240","SEDE UNO","tarde"
"111001047678","SEDE UNO","manana"
"111001047678","PARAISO MIRADOR","tarde"
"111001014524","SEDE UNO","manana"
"111001014524","SEDE UNO","tarde"
"111001014486","SEDE UNO","manana"
"111001014486","SEDE UNO","tarde"
"111001036781","SEDE UNO","unica"
"211850001317","SEDE UNO","unica"
"211850001121","SEDE UNO","manana"
"211850001121","SEDE UNO","tarde"
"211850001171","SEDE UNO","unica"
"111001076937","SEDE UNO","manana"
"111001076937","SEDE UNO","tarde"
"111001030821","COMPARTIR MEISSEN","manana"
"111001030821","SEDE UNO","tarde"
"111001086835","SEDE UNO","manana"
"111001086835","SEDE UNO","tarde"
"111001075752","SEDE UNO","unica"
"111001030830","SEDE UNO","manana"
"111001030830","SEDE UNO","tarde"
"111001102121","VILLA GLORIA","unica"
"111001100013","SEDE UNO","unica"
"111001098973","SEDE UNO","unica"
"111001100021","SEDE UNO","unica"
"311001005109","SEDE UNO","unica"
"311001037213","SEDE UNO","unica"
"311001041113","SEDE UNO","unica"
"311001039780","SEDE UNO","unica"
"311001093016","SEDE UNO","unica"
"311001046263","SEDE UNO","unica"
"311001044881","SEDE UNO","unica"
"211001076346","LAS AURAS","unica"
"211850001473","LA UNION","manana"
"211850001473","TUNAL ALTO","manana"
"211850001473","ERASMO VALENCIA","unica"
